comparison_pair,metric_name,baseline_value,refined_value,delta,percent_change
snake_refined_val - local_r50_fpn_val,AP_obj,35.274360866100096,34.16138042642012,-1.1129804396799727,-3.1552107886654475
snake_refined_val - local_r50_fpn_val,AP_opart,14.450077185187713,13.623617698993762,-0.8264594861939507,-5.7194122605872755
snake_refined_val - local_r50_fpn_val,segm_AP,18.24958581784875,17.339597630871168,-0.9099881869775821,-4.986349805745076
snake_refined_val - local_r50_fpn_val,part_AP,14.450077185187713,13.623617698993762,-0.8264594861939507,-5.7194122605872755
snake_refined_val - official_r50_fpn_model_zoo,AP_obj,34.7,34.16138042642012,-0.5386195735798793,-1.552217791296482
snake_refined_val - official_r50_fpn_model_zoo,AP_opart,15.8,13.623617698993762,-2.176382301006239,-13.774571525355942
snake_refined_val - official_r50_fpn_model_zoo,part_AP,15.8,13.623617698993762,-2.176382301006239,-13.774571525355942
